"captured_at_local","solution_unique_name","solution_id","solutioncomponentid","componenttype","objectid","rootcomponentbehavior","classification","source"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","abba8d1c-581a-f111-8341-000d3a34016d","10353","80ba8d1c-581a-f111-8341-000d3a34016d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","0abb8d1c-581a-f111-8341-000d3a34016d","10353","f4ba8d1c-581a-f111-8341-000d3a34016d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","d11b8622-581a-f111-8341-000d3a34016d","10353","be1b8622-581a-f111-8341-000d3a34016d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","2e1c8622-581a-f111-8341-000d3a34016d","10353","081c8622-581a-f111-8341-000d3a34016d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","721c8622-581a-f111-8341-000d3a34016d","10353","5c1c8622-581a-f111-8341-000d3a34016d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","ea97000f-34e4-f011-8406-00224802e86d","20","de97000f-34e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","90081d6f-35e4-f011-8406-00224802e86d","381","d043e468-35e4-f011-8406-00224802e86d","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","cd95097d-d019-f111-8341-6045bd03c2bc","10352","c895097d-d019-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","15e27b83-d019-f111-8341-6045bd03c2bc","10353","12e27b83-d019-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","1de27b83-d019-f111-8341-6045bd03c2bc","10353","1ce27b83-d019-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
"2026-06-16T18:15:02-03:00","GestordeCopilotos","ff454097-10e4-f011-8406-00224802e86d","0221ac3e-e619-f111-8341-6045bd03c2bc","10353","fa20ac3e-e619-f111-8341-6045bd03c2bc","0","live_metadata_confirmed","dataverse_webapi_solutioncomponents"
