"captured_at_local","surface","record_id","name","type","match","value_or_ref","classification","notes"
"2026-06-16T18:25:24-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","10d7fb45-0c78-4e52-89b3-25a474eea344","msdyn_SystemAppActions","local_inventory","sistema","inventory_metadata","metadata_name_match","Local sanitized inventory search."
"2026-06-16T18:25:24-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","fd140aad-4df4-11dd-bd17-0019b9312238","System","local_inventory","sistema","inventory_metadata","metadata_name_match","Local sanitized inventory search."
