"captured_at_local","tenant_id","surface","site_id","site_url","list_id","list_display_name","list_name","template","classification","source"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","fa0d8eb2-297b-47bb-b4cd-b69b24381a50","LIB_Plantillas_Canonicas","LIB_Plantillas_Canonicas","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","c9c0a9f8-ee0a-473e-ac76-b75af4a920d3","Catálogo de Comunicaciones de Implementación","Catlogo de Comunicaciones de Implementacin","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","e8755924-23d1-4029-ba6b-bbbb4bfaf833","OPS_Tareas","OPS_Tareas","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","337ba7d8-b2cb-411a-849a-bfd37331d32d","WB_Decisiones","WB_Decisiones","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","697dfa2b-f7ee-4fb5-9f13-c5376393320a","LIB_Presentaciones","LIB_Presentaciones","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","ea7ad772-fbdf-483b-8be7-c9ddafc20968","Documentos Expedientes","Documentos Expedientes","documentLibrary","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","109ca6a2-e056-4899-91e1-ca4d333bcd49","BIB_DOC_Expediente","BIB_DOC_Expediente","documentLibrary","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","008edf42-3115-43c0-8329-d034bb988372","ACT_Actos","ACT_Actos","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","d187401b-d3e1-4c1c-bb52-d113751796fd","Codificación","Codificacin","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","a904ab91-157e-4b20-9cbf-d4def394dbdb","DO_NOT_DELETE_SPLIST_SITECOLLECTION_AGGREGATED_CONTENTTYPES","DO_NOT_DELETE_SPLIST_SITECOLLECTION_AGGREGATED_CONTENTTYPES","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","10f81526-3b8a-4c88-b66d-d7a372debfe4","CMP_KYC","CMP_KYC","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","50c22323-98ba-4847-8a65-dce6f5176c64","CMP_Controles","CMP_Controles","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","a44a8bb2-71b6-46b2-ad65-f10a094e5c49","OBJ_Bienes","OBJ_Bienes","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","2e85118b-9295-4c6a-b234-f1603ab4985a","PRO_Protocolo_Digital","PRO_Protocolo_Digital","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","8c00d55a-c4ed-4fc5-9cb7-fb312ea8f78b","Minutas","Minutas","genericList","confirmada","graph_site_lists"
