"old_path","new_path","bucket","filename","bytes","action"
"operativa/archive/legacy-root/20260622/W1_W2_LOCAL_OVERLAY_POLICY_20260622.md","operativa/archive/legacy-root/20260622/W1_W2_LOCAL_OVERLAY_POLICY_20260622.md","20260622","W1_W2_LOCAL_OVERLAY_POLICY_20260622.md","943","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","20260622","W3_AGENT_CHAIN_CARRIL_ASSIGNMENT_MATRIX_20260622.csv","3469","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W3_AGENT_PARALLEL_DISPATCH_POLICY_20260622.md","operativa/archive/legacy-root/20260622/W3_AGENT_PARALLEL_DISPATCH_POLICY_20260622.md","20260622","W3_AGENT_PARALLEL_DISPATCH_POLICY_20260622.md","977","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W3_AGENT_TOOL_GATE_BOUNDARY_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W3_AGENT_TOOL_GATE_BOUNDARY_MATRIX_20260622.csv","20260622","W3_AGENT_TOOL_GATE_BOUNDARY_MATRIX_20260622.csv","2503","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W4_PLUGIN_CACHE_REFERENCE_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W4_PLUGIN_CACHE_REFERENCE_MATRIX_20260622.csv","20260622","W4_PLUGIN_CACHE_REFERENCE_MATRIX_20260622.csv","129159","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","operativa/archive/legacy-root/20260622/W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","20260622","W4_RECTOR_SKILLS_CHAIN_ASSIGNMENT_20260622.csv","2623","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W4_SKILL_DEDUPLICATION_ALIAS_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W4_SKILL_DEDUPLICATION_ALIAS_MATRIX_20260622.csv","20260622","W4_SKILL_DEDUPLICATION_ALIAS_MATRIX_20260622.csv","40815","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","20260622","W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","290475","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_PLAN_20260622.md","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_PLAN_20260622.md","20260622","W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_PLAN_20260622.md","2148","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W5_CONNECTOR_GATE_TEST_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W5_CONNECTOR_GATE_TEST_MATRIX_20260622.csv","20260622","W5_CONNECTOR_GATE_TEST_MATRIX_20260622.csv","2048","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W5_CONNECTORS_ON_DEMAND_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W5_CONNECTORS_ON_DEMAND_MATRIX_20260622.csv","20260622","W5_CONNECTORS_ON_DEMAND_MATRIX_20260622.csv","2911","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W5_MCP_CONFIG_NO_EXECUTION_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W5_MCP_CONFIG_NO_EXECUTION_MATRIX_20260622.csv","20260622","W5_MCP_CONFIG_NO_EXECUTION_MATRIX_20260622.csv","403","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W6_DATA_ANALYTICS_LANE_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W6_DATA_ANALYTICS_LANE_MATRIX_20260622.csv","20260622","W6_DATA_ANALYTICS_LANE_MATRIX_20260622.csv","848","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W6_EVAL_HARNESS_GATE_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W6_EVAL_HARNESS_GATE_MATRIX_20260622.csv","20260622","W6_EVAL_HARNESS_GATE_MATRIX_20260622.csv","605","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W6_OPENAI_DEVELOPERS_LANE_MATRIX_20260622.csv","operativa/archive/legacy-root/20260622/W6_OPENAI_DEVELOPERS_LANE_MATRIX_20260622.csv","20260622","W6_OPENAI_DEVELOPERS_LANE_MATRIX_20260622.csv","1000","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260622/W6_OPENAI_SECURITY_BOUNDARY_20260622.md","operativa/archive/legacy-root/20260622/W6_OPENAI_SECURITY_BOUNDARY_20260622.md","20260622","W6_OPENAI_SECURITY_BOUNDARY_20260622.md","1186","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260616/WAVE_ATOMICA_REPOS_20260616.md","operativa/archive/legacy-root/20260616/WAVE_ATOMICA_REPOS_20260616.md","20260616","WAVE_ATOMICA_REPOS_20260616.md","9543","ARCHIVED_LEGACY_ROOT"
"operativa/archive/legacy-root/20260618/WORKBOOK_SUPERFICIES_WORKSPACE_20260618.csv","operativa/archive/legacy-root/20260618/WORKBOOK_SUPERFICIES_WORKSPACE_20260618.csv","20260618","WORKBOOK_SUPERFICIES_WORKSPACE_20260618.csv","1199","ARCHIVED_LEGACY_ROOT"
"operativa/archive/root-loose/20260618/README_ARRANQUE_CODEX_CLOUD.md","operativa/archive/root-loose/20260618/operativa/archive/root-loose/20260618/README_ARRANQUE_CODEX_CLOUD.md","20260618","operativa/archive/root-loose/20260618/README_ARRANQUE_CODEX_CLOUD.md","1864","ARCHIVED_ROOT_LOOSE"
"operativa/archive/root-loose/20260623/error.log","operativa/archive/root-loose/20260623/operativa/archive/root-loose/20260623/error.log","20260623","operativa/archive/root-loose/20260623/error.log","761","ARCHIVED_ROOT_LOOSE"
".tmp_sdu_org_total","operativa/archive/root-dirs/20260623/.tmp_sdu_org_total","20260623",".tmp_sdu_org_total","46847","ARCHIVED_ROOT_DIR"
"SDU_ORG_TOTAL_MULTIAGENTE_VSCODE_INSIDERS_G1_20260623","operativa/archive/root-dirs/20260623/SDU_ORG_TOTAL_MULTIAGENTE_VSCODE_INSIDERS_G1_20260623","20260623","SDU_ORG_TOTAL_MULTIAGENTE_VSCODE_INSIDERS_G1_20260623","","ARCHIVED_ROOT_DIR"
